Timestamp,DB100_Error_Code,DB100_Fault_Count,DB100_Hydraulic_Pressure_bar,DB100_Hydraulic_Temp_C,DB100_Run_Hours,DB100_State_Word,DB102_SP_Hoist_Speed_m_min,DB102_SP_Slew_Speed_deg_min,DB103_Calib_Inclinometer,DB103_Calib_LoadCell_A,DB103_Offset_TankA,DB106_Motor_Speed_SP_rpm,DB106_Status_Word,DB106_System_Enabled,DB106_Total_Lifts,DB108_Current_State,DB108_Delay_Start_ms,DB108_Delay_Stop_ms,DB108_Retries,DB108_Substep,DB108_Timeout_Limit_ms,DB109_Firmware_Version,DB109_Mode_Code,DB109_T_Cool_ms,DB109_T_Hold_ms,DB109_T_Preheat_ms,DB111_Max_Energy_kWh,DB111_Threshold_High,DB111_Threshold_Low,DB120_Filter_Status,DB120_Tank_Level_percent,DB194_Job_Mode_0,DB194_Job_Mode_1,DB194_Job_Mode_2,DB194_Job_Mode_3,DB194_Job_Mode_4,DB194_Job_Mode_5,DB194_Job_Mode_6,DB194_Job_Mode_7,DB201_Cycle_ID,DB201_Param_A,DB201_Param_B,DB201_Param_C,DB201_Param_D,DB201_Param_E,DB201_Param_F,DB201_Param_G,DB202_Cycle_ID,DB202_Param_A,DB202_Param_B,DB202_Param_C,DB202_Param_D,DB202_Param_E,DB202_Param_F,DB202_Param_G,DB208_Cycle_ID,DB208_Param_A,DB208_Param_B,DB208_Param_C,DB208_Param_D,DB208_Param_E,DB208_Param_F,DB208_Param_G,DB401_Cycle_ID,DB401_Param_A,DB401_Param_B,DB401_Param_C,DB401_Param_D,DB401_Param_E,DB401_Param_F,DB401_Param_G,DB402_Cycle_ID,DB402_Param_A,DB402_Param_B,DB402_Param_C,DB402_Param_D,DB402_Param_E,DB402_Param_F,DB402_Param_G,DB408_Cycle_ID,DB408_Param_A,DB408_Param_B,DB408_Param_C,DB408_Param_D,DB408_Param_E,DB408_Param_F,DB408_Param_G,DB411_Cycle_ID,DB411_Param_A,DB411_Param_B,DB411_Param_C,DB411_Param_D,DB411_Param_E,DB411_Param_F,DB411_Param_G,DB412_Cycle_ID,DB412_Param_A,DB412_Param_B,DB412_Param_C,DB412_Param_D,DB412_Param_E,DB412_Param_F,DB412_Param_G,DB419_Cycle_ID,DB419_Param_A,DB419_Param_B,DB419_Param_C,DB419_Param_D,DB419_Param_E,DB419_Param_F,DB419_Param_G,DB420_Cycle_ID,DB420_Param_A,DB420_Param_B,DB420_Param_C,DB420_Param_D,DB420_Param_E,DB420_Param_F,DB420_Param_G,DB500_Order_0,DB500_Order_1,DB500_Order_2,DB500_Order_3,DB500_Order_4,DB500_Order_5,DB500_Order_6,DB500_Order_7
2025-07-22T12:24:44.282292,620.0,17402,80.0,,1142718464,-0x8000,422.0,422.0,-3.697047595159598e+19,0.0,0.0,28.0,17825,55.0,1168209920,0,4000,4000,1,0,7936,1300,1000,2000,2100,4000,2528.0,0.0,2528.0,0,12.1,0,5000,0,5001,0,5002,0,5003,639696,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656160,37.6,37.6,37.6,37.6,37.6,37.6,37.6,680345,117.0,117.0,117.0,117.0,117.0,117.0,117.0,639896,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656360,37.6,37.6,37.6,37.6,37.6,37.6,37.6,684006,126.4,126.4,126.4,126.4,126.4,126.4,126.4,663892,54.0,54.0,54.0,54.0,54.0,54.0,54.0,663893,54.0,54.0,54.0,54.0,54.0,54.0,54.0,657881,44.0,44.0,44.0,44.0,44.0,44.0,44.0,658630,46.2,46.2,46.2,46.2,46.2,46.2,46.2,0,5000,0,5001,0,5002,0,5003
2025-07-22T12:24:49.415362,620.0,17402,80.0,,1142718464,-0x8000,106.0,106.0,-3.697047595159598e+19,0.0,0.0,29.0,17825,0.0,1168209920,0,4000,4000,1,0,7936,1300,1000,2000,2100,4000,2528.0,0.0,2528.0,0,9.6,0,5000,0,5001,0,5002,0,5003,639696,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656160,37.6,37.6,37.6,37.6,37.6,37.6,37.6,680345,117.0,117.0,117.0,117.0,117.0,117.0,117.0,639896,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656360,37.6,37.6,37.6,37.6,37.6,37.6,37.6,684006,126.4,126.4,126.4,126.4,126.4,126.4,126.4,663892,54.0,54.0,54.0,54.0,54.0,54.0,54.0,663893,54.0,54.0,54.0,54.0,54.0,54.0,54.0,657881,44.0,44.0,44.0,44.0,44.0,44.0,44.0,658630,46.2,46.2,46.2,46.2,46.2,46.2,46.2,0,5000,0,5001,0,5002,0,5003
2025-07-22T12:24:54.546342,620.0,17402,80.0,,1142718464,-0x8000,86.0,86.0,-3.697047595159598e+19,0.0,0.0,29.0,17825,5.0,1168209920,0,4000,4000,1,0,7680,1300,1000,2000,2100,4000,2528.0,0.0,2528.0,0,11.4,0,5000,0,5001,0,5002,0,5003,639696,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656160,37.6,37.6,37.6,37.6,37.6,37.6,37.6,680345,117.0,117.0,117.0,117.0,117.0,117.0,117.0,639896,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656360,37.6,37.6,37.6,37.6,37.6,37.6,37.6,684006,126.4,126.4,126.4,126.4,126.4,126.4,126.4,663892,54.0,54.0,54.0,54.0,54.0,54.0,54.0,663893,54.0,54.0,54.0,54.0,54.0,54.0,54.0,657881,44.0,44.0,44.0,44.0,44.0,44.0,44.0,658630,46.2,46.2,46.2,46.2,46.2,46.2,46.2,0,5000,0,5001,0,5002,0,5003
2025-07-22T12:24:59.669164,620.0,17402,80.0,,1142718464,-0x8000,79.0,79.0,-3.697047595159598e+19,0.0,0.0,29.0,17825,10.0,1168209920,0,4000,4000,1,0,7936,1300,1000,2000,2100,4000,2528.0,0.0,2528.0,0,11.2,0,5000,0,5001,0,5002,0,5003,639696,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656160,37.6,37.6,37.6,37.6,37.6,37.6,37.6,680345,117.0,117.0,117.0,117.0,117.0,117.0,117.0,639896,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656360,37.6,37.6,37.6,37.6,37.6,37.6,37.6,684006,126.4,126.4,126.4,126.4,126.4,126.4,126.4,663892,54.0,54.0,54.0,54.0,54.0,54.0,54.0,663893,54.0,54.0,54.0,54.0,54.0,54.0,54.0,657881,44.0,44.0,44.0,44.0,44.0,44.0,44.0,658630,46.2,46.2,46.2,46.2,46.2,46.2,46.2,0,5000,0,5001,0,5002,0,5003
2025-07-22T12:25:04.779953,620.0,17402,80.0,,1142718464,-0x8000,59.0,59.0,-3.697047595159598e+19,0.0,0.0,29.0,17825,15.0,1168209920,0,4000,4000,1,0,7680,1300,1000,2000,2100,4000,2528.0,0.0,2528.0,0,10.8,0,5000,0,5001,0,5002,0,5003,639696,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656160,37.6,37.6,37.6,37.6,37.6,37.6,37.6,680345,117.0,117.0,117.0,117.0,117.0,117.0,117.0,639896,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656360,37.6,37.6,37.6,37.6,37.6,37.6,37.6,684006,126.4,126.4,126.4,126.4,126.4,126.4,126.4,663892,54.0,54.0,54.0,54.0,54.0,54.0,54.0,663893,54.0,54.0,54.0,54.0,54.0,54.0,54.0,657881,44.0,44.0,44.0,44.0,44.0,44.0,44.0,658630,46.2,46.2,46.2,46.2,46.2,46.2,46.2,0,5000,0,5001,0,5002,0,5003
2025-07-22T12:25:09.915308,620.0,17402,80.0,,1142718464,-0x8000,51.0,51.0,-3.697047595159598e+19,0.0,0.0,29.0,17825,20.0,1168209920,0,4000,4000,1,0,7936,1300,1000,2000,2100,4000,2528.0,0.0,2528.0,0,10.5,0,5000,0,5001,0,5002,0,5003,639696,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656160,37.6,37.6,37.6,37.6,37.6,37.6,37.6,680345,117.0,117.0,117.0,117.0,117.0,117.0,117.0,639896,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656360,37.6,37.6,37.6,37.6,37.6,37.6,37.6,684006,126.4,126.4,126.4,126.4,126.4,126.4,126.4,663892,54.0,54.0,54.0,54.0,54.0,54.0,54.0,663893,54.0,54.0,54.0,54.0,54.0,54.0,54.0,657881,44.0,44.0,44.0,44.0,44.0,44.0,44.0,658630,46.2,46.2,46.2,46.2,46.2,46.2,46.2,0,5000,0,5001,0,5002,0,5003
2025-07-22T12:25:15.031552,620.0,17402,80.0,,1142718464,-0x8000,92.0,92.0,-3.697047595159598e+19,0.0,0.0,29.0,17825,25.0,1168209920,0,4000,4000,1,0,7680,1300,1000,2000,2100,4000,2528.0,0.0,2528.0,0,11.1,0,5000,0,5001,0,5002,0,5003,639696,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656160,37.6,37.6,37.6,37.6,37.6,37.6,37.6,680345,117.0,117.0,117.0,117.0,117.0,117.0,117.0,639896,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656360,37.6,37.6,37.6,37.6,37.6,37.6,37.6,684006,126.4,126.4,126.4,126.4,126.4,126.4,126.4,663892,54.0,54.0,54.0,54.0,54.0,54.0,54.0,663893,54.0,54.0,54.0,54.0,54.0,54.0,54.0,657881,44.0,44.0,44.0,44.0,44.0,44.0,44.0,658630,46.2,46.2,46.2,46.2,46.2,46.2,46.2,0,5000,0,5001,0,5002,0,5003
2025-07-22T12:25:20.146881,620.0,17402,80.0,,1142718464,-0x8000,41.0,41.0,-3.697047595159598e+19,0.0,0.0,29.0,17825,30.0,1168209920,0,4000,4000,1,0,7936,1300,1000,2000,2100,4000,2528.0,0.0,2528.0,0,10.4,0,5000,0,5001,0,5002,0,5003,639696,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656160,37.6,37.6,37.6,37.6,37.6,37.6,37.6,680345,117.0,117.0,117.0,117.0,117.0,117.0,117.0,639896,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656360,37.6,37.6,37.6,37.6,37.6,37.6,37.6,684006,126.4,126.4,126.4,126.4,126.4,126.4,126.4,663892,54.0,54.0,54.0,54.0,54.0,54.0,54.0,663893,54.0,54.0,54.0,54.0,54.0,54.0,54.0,657881,44.0,44.0,44.0,44.0,44.0,44.0,44.0,658630,46.2,46.2,46.2,46.2,46.2,46.2,46.2,0,5000,0,5001,0,5002,0,5003
2025-07-22T12:25:25.303007,620.0,17402,80.0,,1142718464,-0x8000,35.0,35.0,-3.697047595159598e+19,0.0,0.0,29.0,17825,36.0,1168209920,0,4000,4000,1,0,7936,1300,1000,2000,2100,4000,2528.0,0.0,2528.0,0,10.4,0,5000,0,5001,0,5002,0,5003,639696,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656160,37.6,37.6,37.6,37.6,37.6,37.6,37.6,680345,117.0,117.0,117.0,117.0,117.0,117.0,117.0,639896,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656360,37.6,37.6,37.6,37.6,37.6,37.6,37.6,684006,126.4,126.4,126.4,126.4,126.4,126.4,126.4,663892,54.0,54.0,54.0,54.0,54.0,54.0,54.0,663893,54.0,54.0,54.0,54.0,54.0,54.0,54.0,657881,44.0,44.0,44.0,44.0,44.0,44.0,44.0,658630,46.2,46.2,46.2,46.2,46.2,46.2,46.2,0,5000,0,5001,0,5002,0,5003
2025-07-22T12:25:30.422929,620.0,17402,80.0,,1142718464,-0x8000,35.0,35.0,-3.697047595159598e+19,0.0,0.0,29.0,17825,41.0,1168209920,0,4000,4000,1,0,7680,1300,1000,2000,2100,4000,2528.0,0.0,2528.0,0,10.4,0,5000,0,5001,0,5002,0,5003,639696,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656160,37.6,37.6,37.6,37.6,37.6,37.6,37.6,680345,117.0,117.0,117.0,117.0,117.0,117.0,117.0,639896,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656360,37.6,37.6,37.6,37.6,37.6,37.6,37.6,684006,126.4,126.4,126.4,126.4,126.4,126.4,126.4,663892,54.0,54.0,54.0,54.0,54.0,54.0,54.0,663893,54.0,54.0,54.0,54.0,54.0,54.0,54.0,657881,44.0,44.0,44.0,44.0,44.0,44.0,44.0,658630,46.2,46.2,46.2,46.2,46.2,46.2,46.2,0,5000,0,5001,0,5002,0,5003
2025-07-22T12:25:35.576388,620.0,17402,80.0,,1142718464,-0x8000,26.0,26.0,-3.697047595159598e+19,0.0,0.0,29.0,17825,46.0,1168209920,0,4000,4000,1,0,7936,1300,1000,2000,2100,4000,2528.0,0.0,2528.0,0,9.8,0,5000,0,5001,0,5002,0,5003,639696,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656160,37.6,37.6,37.6,37.6,37.6,37.6,37.6,680345,117.0,117.0,117.0,117.0,117.0,117.0,117.0,639896,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656360,37.6,37.6,37.6,37.6,37.6,37.6,37.6,684006,126.4,126.4,126.4,126.4,126.4,126.4,126.4,663892,54.0,54.0,54.0,54.0,54.0,54.0,54.0,663893,54.0,54.0,54.0,54.0,54.0,54.0,54.0,657881,44.0,44.0,44.0,44.0,44.0,44.0,44.0,658630,46.2,46.2,46.2,46.2,46.2,46.2,46.2,0,5000,0,5001,0,5002,0,5003
2025-07-22T12:25:40.745232,620.0,17402,80.0,,1142718464,-0x8000,55.0,55.0,-3.697047595159598e+19,0.0,0.0,29.0,17825,51.0,1168209920,0,4000,4000,1,0,7680,1300,1000,2000,2100,4000,2528.0,0.0,2528.0,0,3.4,0,5000,0,5001,0,5002,0,5003,639696,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656160,37.6,37.6,37.6,37.6,37.6,37.6,37.6,680345,117.0,117.0,117.0,117.0,117.0,117.0,117.0,639896,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656360,37.6,37.6,37.6,37.6,37.6,37.6,37.6,684006,126.4,126.4,126.4,126.4,126.4,126.4,126.4,663892,54.0,54.0,54.0,54.0,54.0,54.0,54.0,663893,54.0,54.0,54.0,54.0,54.0,54.0,54.0,657881,44.0,44.0,44.0,44.0,44.0,44.0,44.0,658630,46.2,46.2,46.2,46.2,46.2,46.2,46.2,0,5000,0,5001,0,5002,0,5003
2025-07-22T12:25:45.883414,620.0,17402,80.0,,1142718464,-0x8000,27.0,27.0,-3.697047595159598e+19,0.0,0.0,29.0,17825,56.0,1168209920,0,4000,4000,1,0,7936,1300,1000,2000,2100,4000,2528.0,0.0,2528.0,0,10.6,0,5000,0,5001,0,5002,0,5003,639696,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656160,37.6,37.6,37.6,37.6,37.6,37.6,37.6,680345,117.0,117.0,117.0,117.0,117.0,117.0,117.0,639896,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656360,37.6,37.6,37.6,37.6,37.6,37.6,37.6,684006,126.4,126.4,126.4,126.4,126.4,126.4,126.4,663892,54.0,54.0,54.0,54.0,54.0,54.0,54.0,663893,54.0,54.0,54.0,54.0,54.0,54.0,54.0,657881,44.0,44.0,44.0,44.0,44.0,44.0,44.0,658630,46.2,46.2,46.2,46.2,46.2,46.2,46.2,0,5000,0,5001,0,5002,0,5003
2025-07-22T12:25:51.024804,620.0,17402,80.0,,1142718464,-0x8000,31.0,31.0,-3.697047595159598e+19,0.0,0.0,30.0,17825,1.0,1168209920,0,4000,4000,1,0,7680,1300,1000,2000,2100,4000,2528.0,0.0,2528.0,0,9.5,0,5000,0,5001,0,5002,0,5003,639696,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656160,37.6,37.6,37.6,37.6,37.6,37.6,37.6,680345,117.0,117.0,117.0,117.0,117.0,117.0,117.0,639896,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656360,37.6,37.6,37.6,37.6,37.6,37.6,37.6,684006,126.4,126.4,126.4,126.4,126.4,126.4,126.4,663892,54.0,54.0,54.0,54.0,54.0,54.0,54.0,663893,54.0,54.0,54.0,54.0,54.0,54.0,54.0,657881,44.0,44.0,44.0,44.0,44.0,44.0,44.0,658630,46.2,46.2,46.2,46.2,46.2,46.2,46.2,0,5000,0,5001,0,5002,0,5003
2025-07-22T12:25:56.172547,620.0,17402,80.0,,1142718464,-0x8000,38.0,38.0,-3.697047595159598e+19,0.0,0.0,30.0,17825,6.0,1168209920,0,4000,4000,1,0,7936,1300,1000,2000,2100,4000,2528.0,0.0,2528.0,0,11.0,0,5000,0,5001,0,5002,0,5003,639696,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656160,37.6,37.6,37.6,37.6,37.6,37.6,37.6,680345,117.0,117.0,117.0,117.0,117.0,117.0,117.0,639896,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656360,37.6,37.6,37.6,37.6,37.6,37.6,37.6,684006,126.4,126.4,126.4,126.4,126.4,126.4,126.4,663892,54.0,54.0,54.0,54.0,54.0,54.0,54.0,663893,54.0,54.0,54.0,54.0,54.0,54.0,54.0,657881,44.0,44.0,44.0,44.0,44.0,44.0,44.0,658630,46.2,46.2,46.2,46.2,46.2,46.2,46.2,0,5000,0,5001,0,5002,0,5003
2025-07-22T12:26:01.321299,620.0,17402,80.0,,1142718464,-0x8000,38.0,38.0,-3.697047595159598e+19,0.0,0.0,30.0,17825,12.0,1168209920,0,4000,4000,1,0,7936,1300,1000,2000,2100,4000,2528.0,0.0,2528.0,0,10.7,0,5000,0,5001,0,5002,0,5003,639696,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656160,37.6,37.6,37.6,37.6,37.6,37.6,37.6,680345,117.0,117.0,117.0,117.0,117.0,117.0,117.0,639896,5.0,5.0,5.0,5.0,5.0,5.0,5.0,656360,37.6,37.6,37.6,37.6,37.6,37.6,37.6,684006,126.4,126.4,126.4,126.4,126.4,126.4,126.4,663892,54.0,54.0,54.0,54.0,54.0,54.0,54.0,663893,54.0,54.0,54.0,54.0,54.0,54.0,54.0,657881,44.0,44.0,44.0,44.0,44.0,44.0,44.0,658630,46.2,46.2,46.2,46.2,46.2,46.2,46.2,0,5000,0,5001,0,5002,0,5003
