DB_Number,Size,Has_Data,First_32_Bytes_Hex,First_INT,First_REAL,Timestamp
1,0,False,,,,2025-07-21T15:43:06.619401
2,100,True,56c700004000000000000000000043dc00003e4ccccd3d4ccccd000244152e14,22215,109401406963712.0,2025-07-21T15:43:06.646508
3,0,False,,,,2025-07-21T15:43:06.676802
4,100,True,4020000040600000402000004060000041000000428a0000c1100000c24c0000,16416,2.5,2025-07-21T15:43:06.705288
5,100,True,23003fc0000044e1000000080100000501000003000000030000000300003f00,8960,0.0,2025-07-21T15:43:06.739847
6,0,False,,,,2025-07-21T15:43:06.778048
7,100,True,4251a2ab42812a0b42813f8b42812a0b00000000000000000000000000000000,16977,52.4089,2025-07-21T15:43:06.806589
8,0,False,,,,2025-07-21T15:43:06.848168
9,0,False,,,,2025-07-21T15:43:06.894066
10,100,True,000000000000000007c001000000000000000400000004240000000000010000,0,0.0,2025-07-21T15:43:06.918657
11,100,True,c0bf6800c0febbd6c0febbd6436038c84360b8cc4360b8ccbf9e77ac00000000,-16193,-5.9814,2025-07-21T15:43:06.944518
12,100,True,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:06.973137
13,0,False,,,,2025-07-21T15:43:07.006323
14,0,False,,,,2025-07-21T15:43:07.046263
15,0,False,,,,2025-07-21T15:43:07.078900
16,0,False,,,,2025-07-21T15:43:07.109118
17,0,False,,,,2025-07-21T15:43:07.147076
18,0,False,,,,2025-07-21T15:43:07.190960
19,0,False,,,,2025-07-21T15:43:07.223970
20,0,False,,,,2025-07-21T15:43:07.254230
21,100,True,0000c0298300c017a77dc017a77dbea28000bf50ddbabf50ddba39abd5afbe91,0,0.0,2025-07-21T15:43:07.290015
22,0,False,,,,2025-07-21T15:43:07.320819
23,0,False,,,,2025-07-21T15:43:07.353092
24,0,False,,,,2025-07-21T15:43:07.389524
25,0,False,,,,2025-07-21T15:43:07.420317
26,0,False,,,,2025-07-21T15:43:07.453142
27,0,False,,,,2025-07-21T15:43:07.490703
28,0,False,,,,2025-07-21T15:43:07.521628
29,0,False,,,,2025-07-21T15:43:07.554198
30,0,False,,,,2025-07-21T15:43:07.591267
31,100,True,c530c000c530c000c530c00001004188a76800000000448580003f63d70b0100,-15056,-2828.0,2025-07-21T15:43:07.615639
32,0,False,,,,2025-07-21T15:43:07.653387
33,0,False,,,,2025-07-21T15:43:07.699412
34,0,False,,,,2025-07-21T15:43:07.738498
35,0,False,,,,2025-07-21T15:43:07.769002
36,0,False,,,,2025-07-21T15:43:07.806484
37,0,False,,,,2025-07-21T15:43:07.844460
38,0,False,,,,2025-07-21T15:43:07.891894
39,0,False,,,,2025-07-21T15:43:07.924579
40,0,False,,,,2025-07-21T15:43:07.959691
41,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:07.990548
42,100,True,00000000000042c800003d4ccccd4040000040400000404000004040000041c8,0,0.0,2025-07-21T15:43:08.016032
43,0,False,,,,2025-07-21T15:43:08.045715
44,0,False,,,,2025-07-21T15:43:08.076685
45,0,False,,,,2025-07-21T15:43:08.109278
46,100,True,00000000000042c800003d4ccccd3f0000003f0000003f0000003f0000000000,0,0.0,2025-07-21T15:43:08.139886
47,0,False,,,,2025-07-21T15:43:08.172539
48,0,False,,,,2025-07-21T15:43:08.200738
49,0,False,,,,2025-07-21T15:43:08.228611
50,0,False,,,,2025-07-21T15:43:08.260727
51,100,True,1300000000000100000300000004006400004000100011000000000007d00000,4864,0.0,2025-07-21T15:43:08.291136
52,0,False,,,,2025-07-21T15:43:08.322578
53,100,True,00b400004000000000000000000044bb80003dcccccd3d4ccccd0002417fae14,180,0.0,2025-07-21T15:43:08.350212
54,0,False,,,,2025-07-21T15:43:08.392632
55,0,False,,,,2025-07-21T15:43:08.428189
56,0,False,,,,2025-07-21T15:43:08.457702
57,0,False,,,,2025-07-21T15:43:08.495981
58,0,False,,,,2025-07-21T15:43:08.527949
59,0,False,,,,2025-07-21T15:43:08.558757
60,0,False,,,,2025-07-21T15:43:08.600348
61,100,True,40160000401600004016000000000000bd8e3900bd521b8bbd521b8b00000000,16406,2.3438,2025-07-21T15:43:08.625222
62,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:08.651000
63,100,True,040000000000020000000000000003e80000000000000000a38a98e5a38a9ccd,1024,0.0,2025-07-21T15:43:08.677707
64,0,False,,,,2025-07-21T15:43:08.712063
65,0,False,,,,2025-07-21T15:43:08.749130
66,0,False,,,,2025-07-21T15:43:08.780868
67,0,False,,,,2025-07-21T15:43:08.812609
68,0,False,,,,2025-07-21T15:43:08.853168
69,0,False,,,,2025-07-21T15:43:08.902806
70,0,False,,,,2025-07-21T15:43:08.940685
71,0,False,,,,2025-07-21T15:43:08.972327
72,100,True,0000020000000000020000000000000027100000000000000000f9206eb6f920,0,0.0,2025-07-21T15:43:08.997112
73,0,False,,,,2025-07-21T15:43:09.028932
74,0,False,,,,2025-07-21T15:43:09.061073
75,0,False,,,,2025-07-21T15:43:09.099688
76,0,False,,,,2025-07-21T15:43:09.138335
77,0,False,,,,2025-07-21T15:43:09.167451
78,0,False,,,,2025-07-21T15:43:09.201209
79,0,False,,,,2025-07-21T15:43:09.240182
80,0,False,,,,2025-07-21T15:43:09.268522
81,100,True,000007d0000001f4010046fcd44e46d6380000000000000a00000320000004b0,0,0.0,2025-07-21T15:43:09.295246
82,0,False,,,,2025-07-21T15:43:09.324888
83,0,False,,,,2025-07-21T15:43:09.355919
84,0,False,,,,2025-07-21T15:43:09.466108
85,0,False,,,,2025-07-21T15:43:09.503830
86,0,False,,,,2025-07-21T15:43:09.538543
87,0,False,,,,2025-07-21T15:43:09.568742
88,0,False,,,,2025-07-21T15:43:09.601892
89,0,False,,,,2025-07-21T15:43:09.639630
90,0,False,,,,2025-07-21T15:43:09.669262
91,100,True,00000a0a303030203030302030300100000013880000000013880200a385093a,0,0.0,2025-07-21T15:43:09.697594
92,0,False,,,,2025-07-21T15:43:09.729996
93,0,False,,,,2025-07-21T15:43:09.764403
94,0,False,,,,2025-07-21T15:43:09.795894
95,0,False,,,,2025-07-21T15:43:09.827209
96,0,False,,,,2025-07-21T15:43:09.860033
97,0,False,,,,2025-07-21T15:43:09.895977
98,0,False,,,,2025-07-21T15:43:09.926676
99,0,False,,,,2025-07-21T15:43:09.964449
100,100,True,000000000000000000000000000000000000000042a00000441b000044368000,0,0.0,2025-07-21T15:43:09.991070
101,100,True,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:10.020263
102,100,True,42140000421400000000000000000000000042e8a19a4236fccc4415d5c3428d,16916,37.0,2025-07-21T15:43:10.046605
103,100,True,0000448ee00044610000445c0000445c000044584000445d4000445840000000,0,0.0,2025-07-21T15:43:10.074116
104,100,True,00000000000000031a0000000000390800000000020000000000000000000000,0,0.0,2025-07-21T15:43:10.101139
105,0,False,,,,2025-07-21T15:43:10.139171
106,100,True,3f8000004160000045a0e00045a0e000c581a0000100415000004160000045a0,16256,1.0,2025-07-21T15:43:10.163726
107,100,True,0000000000200000000000000200000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:10.191647
108,100,True,0fa00fa01f000000000000010001000100020005000000050005000600290028,4000,0.0,2025-07-21T15:43:10.217765
109,100,True,0fa0083407d003e8051404b108fc07d00fa0083407d003e8051404b207d00fa0,4000,0.0,2025-07-21T15:43:10.244940
110,0,False,,,,2025-07-21T15:43:10.278436
111,100,True,451e000000000000451e000040a00000451e000041500000451e000041800000,17694,2528.0,2025-07-21T15:43:10.306560
112,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:10.347188
113,0,False,,,,2025-07-21T15:43:10.378166
114,0,False,,,,2025-07-21T15:43:10.415265
115,0,False,,,,2025-07-21T15:43:10.449117
116,0,False,,,,2025-07-21T15:43:10.477187
117,0,False,,,,2025-07-21T15:43:10.507127
118,0,False,,,,2025-07-21T15:43:10.544767
119,0,False,,,,2025-07-21T15:43:10.576920
120,100,True,409ccccd00000000409ccccd409b3333446d8000000000000000000000000000,16540,4.9,2025-07-21T15:43:10.604653
121,0,False,,,,2025-07-21T15:43:10.639079
122,0,False,,,,2025-07-21T15:43:10.673863
123,0,False,,,,2025-07-21T15:43:10.704256
124,0,False,,,,2025-07-21T15:43:10.739694
125,0,False,,,,2025-07-21T15:43:10.770308
126,0,False,,,,2025-07-21T15:43:10.806620
127,0,False,,,,2025-07-21T15:43:10.846431
128,0,False,,,,2025-07-21T15:43:10.892363
129,0,False,,,,2025-07-21T15:43:10.928517
130,0,False,,,,2025-07-21T15:43:10.962420
131,0,False,,,,2025-07-21T15:43:10.995491
132,0,False,,,,2025-07-21T15:43:11.024059
133,0,False,,,,2025-07-21T15:43:11.055748
134,0,False,,,,2025-07-21T15:43:11.095735
135,0,False,,,,2025-07-21T15:43:11.129638
136,0,False,,,,2025-07-21T15:43:11.162975
137,0,False,,,,2025-07-21T15:43:11.194816
138,0,False,,,,2025-07-21T15:43:11.223372
139,0,False,,,,2025-07-21T15:43:11.254026
140,0,False,,,,2025-07-21T15:43:11.297245
141,0,False,,,,2025-07-21T15:43:11.325703
142,0,False,,,,2025-07-21T15:43:11.356646
143,0,False,,,,2025-07-21T15:43:11.399344
144,0,False,,,,2025-07-21T15:43:11.427812
145,0,False,,,,2025-07-21T15:43:11.457106
146,0,False,,,,2025-07-21T15:43:11.493795
147,0,False,,,,2025-07-21T15:43:11.523497
148,0,False,,,,2025-07-21T15:43:11.552738
149,0,False,,,,2025-07-21T15:43:11.591443
150,0,False,,,,2025-07-21T15:43:11.622187
151,0,False,,,,2025-07-21T15:43:11.656803
152,0,False,,,,2025-07-21T15:43:11.698556
153,0,False,,,,2025-07-21T15:43:11.727130
154,0,False,,,,2025-07-21T15:43:11.757225
155,0,False,,,,2025-07-21T15:43:11.796677
156,0,False,,,,2025-07-21T15:43:11.826105
157,0,False,,,,2025-07-21T15:43:11.859617
158,0,False,,,,2025-07-21T15:43:11.898944
159,0,False,,,,2025-07-21T15:43:11.929930
160,0,False,,,,2025-07-21T15:43:11.962530
161,0,False,,,,2025-07-21T15:43:11.995738
162,0,False,,,,2025-07-21T15:43:12.024324
163,0,False,,,,2025-07-21T15:43:12.058961
164,0,False,,,,2025-07-21T15:43:12.097129
165,0,False,,,,2025-07-21T15:43:12.125235
166,0,False,,,,2025-07-21T15:43:12.153298
167,0,False,,,,2025-07-21T15:43:12.189042
168,0,False,,,,2025-07-21T15:43:12.218413
169,0,False,,,,2025-07-21T15:43:12.314244
170,0,False,,,,2025-07-21T15:43:12.343220
171,0,False,,,,2025-07-21T15:43:12.373078
172,0,False,,,,2025-07-21T15:43:12.404812
173,0,False,,,,2025-07-21T15:43:12.445472
174,0,False,,,,2025-07-21T15:43:12.477186
175,0,False,,,,2025-07-21T15:43:12.507988
176,0,False,,,,2025-07-21T15:43:12.544564
177,0,False,,,,2025-07-21T15:43:12.573986
178,0,False,,,,2025-07-21T15:43:12.604530
179,0,False,,,,2025-07-21T15:43:12.644275
180,0,False,,,,2025-07-21T15:43:12.674094
181,0,False,,,,2025-07-21T15:43:12.703677
182,0,False,,,,2025-07-21T15:43:12.740593
183,0,False,,,,2025-07-21T15:43:12.773810
184,0,False,,,,2025-07-21T15:43:12.802528
185,0,False,,,,2025-07-21T15:43:12.839567
186,0,False,,,,2025-07-21T15:43:12.871577
187,0,False,,,,2025-07-21T15:43:12.911143
188,0,False,,,,2025-07-21T15:43:12.946804
189,0,False,,,,2025-07-21T15:43:12.989961
190,0,False,,,,2025-07-21T15:43:13.018798
191,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.046294
192,0,False,,,,2025-07-21T15:43:13.078004
193,0,False,,,,2025-07-21T15:43:13.108536
194,100,True,00001388000013890000138a0000138b0000138c0000138d0000138e0000138f,0,0.0,2025-07-21T15:43:13.139795
195,0,False,,,,2025-07-21T15:43:13.168221
196,0,False,,,,2025-07-21T15:43:13.201455
197,0,False,,,,2025-07-21T15:43:13.241612
198,0,False,,,,2025-07-21T15:43:13.277099
199,0,False,,,,2025-07-21T15:43:13.310913
200,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.340234
201,100,True,491c2d0040a0000040a0000040a0000040a0000040a0000040a0000040a00000,18716,639696.0,2025-07-21T15:43:13.365122
202,100,True,4920320042166666421666664216666642166666421666664216666642166666,18720,656160.0,2025-07-21T15:43:13.393733
203,100,True,4922bc30427c0000427c0000427c0000427c0000427c0000427c0000427c0000,18722,666563.0,2025-07-21T15:43:13.418034
204,100,True,49253de042c8000042c8000042c8000042c8000042c8000042c8000042c80000,18725,676830.0,2025-07-21T15:43:13.444225
205,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.467200
206,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.495244
207,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.521215
208,100,True,4926199042ea000042ea000042ea000042ea000042ea000042ea000042ea0000,18726,680345.0,2025-07-21T15:43:13.550973
209,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.577721
210,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.602615
211,100,True,49218e1042480000424800004248000042480000424800004248000042480000,18721,661729.0,2025-07-21T15:43:13.627753
212,100,True,49218e2042480000424800004248000042480000424800004248000042480000,18721,661730.0,2025-07-21T15:43:13.652381
213,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.677300
214,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.703060
215,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.729270
216,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.753287
217,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.778335
218,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.804033
219,100,True,49201c7042200000422000004220000042200000422000004220000042200000,18720,655815.0,2025-07-21T15:43:13.829005
220,100,True,4920470042280000422800004228000042280000422800004228000042280000,18720,656496.0,2025-07-21T15:43:13.854505
221,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.889969
222,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.913969
223,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.942940
224,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.967547
225,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.992494
226,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.016593
227,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.041604
228,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.065647
229,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.095102
230,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.120087
231,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.149000
232,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.177443
233,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.202589
234,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.227084
235,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.251663
236,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.278194
237,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.303374
238,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.328745
239,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.353820
240,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.380663
241,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.407408
242,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.438822
243,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.462968
244,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.491272
245,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.517283
246,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.543099
247,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.567455
248,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.593283
249,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.617783
250,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.644819
